"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1531",518774,"Matt Harvey",2013,"2697","56.77","0.214","0.082","0.269","0.296","0.252","0.052","0.000","68","318","null","null","null","96.5","null","182","773","747","null","null","null","null","null","null","null","null","null"
"2081",434378,"Justin Verlander",2016,"3668","56.73","0.230","0.210","0.291","0.440","0.313","0.302","0.210","94","409","82.1","31.9","2560","94.1","93.37","289","1054","1019","-0.7","6.12","109","151","112","146","303","323","292"
"1687",448802,"Jaime Garcia",2011,"2987","56.48","0.343","0.144","0.347","0.487","0.383","0.063","0.000","143","417","null","null","null","90.2","null","96","731","935","null","null","null","null","null","null","null","null","null"
"2226",434378,"Justin Verlander",2011,"3941","56.48","0.212","0.140","0.228","0.352","0.284","0.067","0.000","100","471","null","null","null","95.5","null","191","1068","1152","null","null","null","null","null","null","null","null","null"
"1471",448802,"Jaime Garcia",2010,"2609","56.38","0.276","0.109","0.282","0.385","0.333","0.082","0.000","96","348","null","null","null","90.8","null","87","643","800","null","null","null","null","null","null","null","null","null"
"1349",450308,"Jered Weaver",2013,"2396","56.30","0.221","0.150","0.244","0.371","0.291","0.062","0.000","68","307","null","null","null","87.1","null","89","542","796","null","null","null","null","null","null","null","null","null"
"2084",450308,"Jered Weaver",2010,"3713","56.13","0.223","0.168","0.279","0.391","0.292","0.053","0.000","98","440","null","null","null","90.4","null","182","936","1140","null","null","null","null","null","null","null","null","null"
"1715",285064,"Ryan Vogelsong",2012,"3056","56.12","0.249","0.142","0.297","0.391","0.313","0.071","0.000","100","402","null","null","null","91.3","null","126","806","894","null","null","null","null","null","null","null","null","null"
"1899",453286,"Max Scherzer",2013,"3388","56.05","0.204","0.166","0.250","0.370","0.277","0.058","0.000","80","392","null","null","null","93.9","null","198","879","1013","null","null","null","null","null","null","null","null","null"
"2066",434378,"Justin Verlander",2013,"3692","55.96","0.286","0.156","0.323","0.442","0.355","0.083","0.000","116","405","null","null","null","93.9","null","189","983","1072","null","null","null","null","null","null","null","null","null"
"1906",434378,"Justin Verlander",2014,"3409","55.91","0.284","0.164","0.314","0.448","0.353","0.079","0.000","118","415","null","null","null","92.9","null","141","891","1007","null","null","null","null","null","null","null","null","null"
"1583",425844,"Zack Greinke",2011,"2841","55.72","0.295","0.241","0.335","0.536","0.379","0.059","0.000","98","332","null","null","null","93.1","null","113","688","885","null","null","null","null","null","null","null","null","null"
"550",605228,"Jose Fernandez",2015,"992","55.44","0.266","0.145","0.326","0.411","0.312","0.322","0.264","33","124","87.9","17.2","2452","96.5","96.58","61","266","282","0.1","6.65","109","148","107","147","296","311","290"
"2089",434378,"Justin Verlander",2012,"3768","55.44","0.246","0.157","0.282","0.403","0.314","0.064","0.000","108","439","null","null","null","94.9","null","207","1040","1040","null","null","null","null","null","null","null","null","null"
