"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"530",450729,"Doug Fister",2014,"2468","21.47","0.267","0.110","0.316","0.377","0.295","0.032","0.000","39","146","null","null","null","77.0","null","57","258","268","null","null","null","null","null","null","null","null","null"
"636",450729,"Doug Fister",2016,"3000","21.20","0.258","0.161","0.315","0.419","0.306","0.302","0.250","40","155","85.0","10.4","1932","73.6","72.95","83","263","371","-0.6","6.00","111","149","114","151","278","314","288"
"779",456034,"David Price",2011,"3698","21.07","0.246","0.140","0.264","0.385","0.288","0.036","0.000","44","179","null","null","null","81.9","null","75","345","431","null","null","null","null","null","null","null","null","null"
"685",434622,"Ubaldo Jimenez",2011,"3259","21.02","0.234","0.207","0.293","0.441","0.300","0.030","0.000","26","111","null","null","null","81.9","null","58","203","478","null","null","null","null","null","null","null","null","null"
"639",452657,"Jon Lester",2015,"3185","20.06","0.177","0.128","0.293","0.305","0.226","0.204","0.165","25","141","83.0","10.1","2198","77.8","76.65","126","280","357","-1.2","5.65","111","150","107","147","287","300","282"
"596",434622,"Ubaldo Jimenez",2015,"3063","19.46","0.279","0.180","0.292","0.459","0.348","0.293","0.235","31","111","84.2","9.9","2281","81.8","81.01","58","210","384","-0.8","5.54","109","153","116","148","292","301","290"
"673",452657,"Jon Lester",2014,"3493","19.27","0.176","0.055","0.299","0.230","0.183","0.012","0.000","29","165","null","null","null","77.0","null","122","314","358","null","null","null","null","null","null","null","null","null"
"316",450729,"Doug Fister",2015,"1654","19.11","0.318","0.148","0.366","0.466","0.362","0.349","0.292","28","88","84.8","8.9","1743","76.4","76.23","34","162","151","-0.2","6.46","112","152","106","147","288","303","297"
"347",448855,"Junior Guerra",2016,"1866","18.60","0.183","0.183","0.200","0.366","0.234","0.246","0.205","13","71","81.1","8.3","1816","82.8","82.22","48","142","202","-0.6","5.87","110","151","109","147","302","316","287"
"537",112526,"Bartolo Colon",2014,"3011","17.83","0.273","0.161","0.291","0.434","0.320","0.037","0.000","39","143","null","null","null","82.6","null","50","242","291","null","null","null","null","null","null","null","null","null"
"555",452657,"Jon Lester",2016,"3165","17.54","0.154","0.092","0.262","0.246","0.203","0.176","0.131","20","130","81.8","9.6","2303","77.9","77.31","122","245","306","-0.6","5.95","112","151","110","148","293","318","288"
"425",112526,"Bartolo Colon",2011,"2542","16.72","0.331","0.254","0.344","0.585","0.388","0.011","0.000","39","118","null","null","null","84.0","null","37","202","223","null","null","null","null","null","null","null","null","null"
"489",424324,"Cliff Lee",2010,"2981","16.40","0.202","0.061","0.286","0.264","0.203","0.000","0.000","33","163","null","null","null","81.6","null","80","261","226","null","null","null","null","null","null","null","null","null"
"439",112526,"Bartolo Colon",2015,"2708","16.21","0.289","0.180","0.311","0.469","0.333","0.325","0.286","37","128","85.1","11.0","1961","82.3","80.42","42","225","210","-1.9","5.15","110","150","114","145","292","311","294"
"429",112526,"Bartolo Colon",2013,"2777","15.45","0.252","0.108","0.294","0.360","0.288","0.036","0.000","28","111","null","null","null","83.4","null","50","207","220","null","null","null","null","null","null","null","null","null"
"220",218596,"Tim Hudson",2015,"1854","11.87","0.135","0.019","0.200","0.154","0.159","0.213","0.172","7","52","85.4","14.3","2267","75.9","74.30","27","87","131","-1.6","5.14","115","152","109","147","293","318","294"
"287",218596,"Tim Hudson",2012,"2623","10.94","0.154","0.077","0.179","0.231","0.218","0.071","0.000","8","52","null","null","null","76.1","null","32","102","182","null","null","null","null","null","null","null","null","null"
"311",112526,"Bartolo Colon",2016,"2853","10.90","0.312","0.221","0.323","0.532","0.364","0.375","0.305","24","77","84.3","9.8","2027","82.2","80.36","31","142","168","-1.8","5.13","109","154","113","147","295","316","297"
"203",218596,"Tim Hudson",2013,"2006","10.12","0.179","0.179","0.227","0.359","0.227","0.000","0.000","7","39","null","null","null","76.7","null","22","83","120","null","null","null","null","null","null","null","null","null"
"216",112526,"Bartolo Colon",2012,"2141","10.09","0.177","0.145","0.178","0.323","0.221","0.011","0.000","11","62","null","null","null","83.5","null","27","114","101","null","null","null","null","null","null","null","null","null"
"282",218596,"Tim Hudson",2011,"3204","8.80","0.138","0.052","0.200","0.190","0.210","0.085","0.000","8","58","null","null","null","76.6","null","40","105","174","null","null","null","null","null","null","null","null","null"
"235",218596,"Tim Hudson",2014,"2784","8.44","0.333","0.167","0.481","0.500","0.375","0.032","0.000","14","42","null","null","null","76.1","null","29","89","143","null","null","null","null","null","null","null","null","null"
"132",218596,"Tim Hudson",2010,"3339","3.95","0.118","0.059","0.222","0.176","0.158","0.039","0.000","2","17","null","null","null","76.1","null","16","39","93","null","null","null","null","null","null","null","null","null"
