"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1601",477132,"Clayton Kershaw",2010,"3390","47.23","0.118","0.049","0.225","0.167","0.282","0.194","0.000","24","204","null","null","null","88.2","null","156","417","1145","null","null","null","null","null","null","null","null","null"
"1443",434671,"Anibal Sanchez",2012,"3057","47.20","0.160","0.036","0.269","0.196","0.251","0.123","0.000","36","225","null","null","null","88.0","null","157","414","1008","null","null","null","null","null","null","null","null","null"
"1618",519242,"Chris Sale",2016,"3432","47.14","0.169","0.091","0.284","0.260","0.285","0.277","0.163","37","219","77.9","11.1","2217","88.2","86.97","186","499","1093","-1.2","5.90","107","150","107","145","297","313","283"
"1345",112526,"Bartolo Colon",2016,"2853","47.14","0.218","0.112","0.273","0.330","0.303","0.313","0.234","39","179","80.3","13.9","2132","87.5","85.63","91","399","928","-1.9","5.28","110","152","111","147","290","312","294"
"1524",434671,"Anibal Sanchez",2010,"3234","47.12","0.191","0.048","0.337","0.239","0.316","0.178","0.000","36","188","null","null","null","87.3","null","155","420","1073","null","null","null","null","null","null","null","null","null"
"1452",519455,"Jordan Zimmermann",2012,"3089","47.01","0.170","0.061","0.279","0.230","0.260","0.119","0.000","39","230","null","null","null","90.1","null","149","448","990","null","null","null","null","null","null","null","null","null"
"1401",547874,"Hisashi Iwakuma",2016,"2981","47.00","0.216","0.061","0.331","0.277","0.292","0.278","0.192","50","231","78.9","8.6","1961","83.7","83.14","144","433","948","-0.6","6.10","107","152","112","146","290","312","292"
"1284",285079,"R.A. Dickey",2016,"2742","46.83","0.187","0.133","0.247","0.320","0.362","0.373","0.206","28","150","76.0","13.4","1699","76.7","75.08","115","342","935","-1.6","5.39","110","151","116","148","293","315","291"
"1518",519242,"Chris Sale",2013,"3248","46.74","0.148","0.047","0.254","0.195","0.251","0.128","0.000","35","236","null","null","null","86.9","null","192","456","1042","null","null","null","null","null","null","null","null","null"
"1523",285079,"R.A. Dickey",2015,"3266","46.63","0.184","0.095","0.235","0.279","0.328","0.336","0.203","35","190","82.7","14.5","1577","76.7","75.06","117","425","1079","-1.6","5.49","108","152","114","147","290","314","293"
"1261",456034,"David Price",2013,"2707","46.58","0.160","0.046","0.283","0.206","0.233","0.094","0.000","31","194","null","null","null","89.7","null","107","346","907","null","null","null","null","null","null","null","null","null"
