"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3359",453286,"Max Scherzer",2015,"3359","100.00","0.208","0.150","0.273","0.358","0.258","0.252","0.202","176","847","84.7","16.6","2286","90.8","89.85","570","1837","1494","-0.9","5.97","111","149","106","147","285","303","291"
"2542",112526,"Bartolo Colon",2011,"2542","100.00","0.267","0.173","0.306","0.440","0.324","0.043","0.000","172","643","null","null","null","90.8","null","151","1106","1416","null","null","null","null","null","null","null","null","null"
"3089",519455,"Jordan Zimmermann",2012,"3089","100.00","0.251","0.137","0.292","0.388","0.298","0.044","0.000","186","742","null","null","null","90.7","null","287","1502","1561","null","null","null","null","null","null","null","null","null"
"3083",519455,"Jordan Zimmermann",2013,"3083","100.00","0.239","0.137","0.275","0.375","0.283","0.038","0.000","192","805","null","null","null","90.7","null","294","1532","1526","null","null","null","null","null","null","null","null","null"
"3608",433587,"Felix Hernandez",2011,"3608","100.00","0.248","0.108","0.308","0.356","0.293","0.054","0.000","218","880","null","null","null","90.6","null","362","1654","1934","null","null","null","null","null","null","null","null","null"
"3500",446372,"Corey Kluber",2014,"3500","100.00","0.233","0.112","0.318","0.345","0.275","0.042","0.000","207","887","null","null","null","90.5","null","442","1641","1827","null","null","null","null","null","null","null","null","null"
"3941",434378,"Justin Verlander",2011,"3941","100.00","0.192","0.121","0.237","0.313","0.246","0.043","0.000","174","904","null","null","null","90.5","null","446","1842","2090","null","null","null","null","null","null","null","null","null"
"3564",453286,"Max Scherzer",2016,"3564","100.00","0.199","0.166","0.259","0.365","0.268","0.264","0.202","165","830","81.9","22.6","2369","90.5","89.88","595","1830","1704","-0.6","5.92","112","150","111","147","293","308","288"
"940",435178,"Josh Johnson",2011,"940","100.00","0.185","0.066","0.240","0.251","0.234","0.063","0.000","39","211","null","null","null","90.5","null","89","411","517","null","null","null","null","null","null","null","null","null"
"3103",519455,"Jordan Zimmermann",2015,"3103","100.00","0.264","0.130","0.306","0.394","0.305","0.306","0.257","204","774","85.4","12.6","2306","90.4","89.86","296","1545","1532","-0.5","6.01","110","150","107","147","288","303","295"
"3078",543243,"Sonny Gray",2015,"3078","100.00","0.217","0.099","0.256","0.316","0.264","0.288","0.234","166","765","87.4","8.4","2317","90.4","89.97","325","1437","1634","-0.4","6.00","112","151","110","147","294","319","299"
"2236",594798,"Jacob deGrom",2014,"2236","100.00","0.228","0.097","0.301","0.326","0.272","0.055","0.000","117","513","null","null","null","90.4","null","288","1072","1136","null","null","null","null","null","null","null","null","null"
"3298",453286,"Max Scherzer",2010,"3298","100.00","0.244","0.139","0.300","0.383","0.308","0.067","0.000","174","712","null","null","null","90.4","null","341","1493","1782","null","null","null","null","null","null","null","null","null"
"3117",456501,"Johnny Cueto",2010,"3117","100.00","0.257","0.151","0.295","0.408","0.316","0.058","0.000","181","703","null","null","null","90.3","null","313","1430","1649","null","null","null","null","null","null","null","null","null"
"2810",453329,"Clay Buchholz",2010,"2810","100.00","0.226","0.086","0.263","0.312","0.278","0.071","0.000","142","629","null","null","null","90.3","null","276","1284","1514","null","null","null","null","null","null","null","null","null"
"2612",605228,"Jose Fernandez",2013,"2612","100.00","0.182","0.083","0.242","0.265","0.238","0.065","0.000","111","611","null","null","null","90.2","null","281","1189","1391","null","null","null","null","null","null","null","null","null"
"3198",461829,"Gio Gonzalez",2012,"3198","100.00","0.206","0.094","0.271","0.299","0.262","0.069","0.000","149","725","null","null","null","90.2","null","334","1380","1781","null","null","null","null","null","null","null","null","null"
"787",605228,"Jose Fernandez",2014,"787","100.00","0.188","0.109","0.271","0.297","0.239","0.044","0.000","36","192","null","null","null","90.2","null","120","383","395","null","null","null","null","null","null","null","null","null"
"3274",446372,"Corey Kluber",2015,"3274","100.00","0.231","0.140","0.300","0.371","0.283","0.283","0.229","189","819","86.1","11.3","2300","90.2","90.34","451","1657","1578","0.1","6.23","109","150","110","148","285","306","292"
"1866",448855,"Junior Guerra",2016,"1866","100.00","0.213","0.134","0.252","0.347","0.280","0.303","0.231","94","441","83.5","14.0","1932","90.1","89.91","217","870","979","-0.2","6.19","110","152","110","148","301","315","288"
"1947",543243,"Sonny Gray",2016,"1947","100.00","0.286","0.189","0.319","0.475","0.352","0.332","0.266","133","465","85.9","9.2","2419","90.1","89.85","171","859","1079","-0.3","6.19","107","151","107","147","292","320","298"
"2464",519455,"Jordan Zimmermann",2011,"2464","100.00","0.251","0.126","0.296","0.377","0.291","0.040","0.000","154","613","null","null","null","90.1","null","216","1199","1238","null","null","null","null","null","null","null","null","null"
"3259",434622,"Ubaldo Jimenez",2011,"3259","100.00","0.254","0.164","0.315","0.419","0.330","0.074","0.000","186","731","null","null","null","90.1","null","291","1394","1824","null","null","null","null","null","null","null","null","null"
"1956",453562,"Jake Arrieta",2012,"1956","100.00","0.272","0.163","0.323","0.434","0.331","0.056","0.000","122","449","null","null","null","90.1","null","171","806","1126","null","null","null","null","null","null","null","null","null"
"3189",446372,"Corey Kluber",2016,"3189","100.00","0.216","0.141","0.274","0.357","0.276","0.279","0.218","170","788","82.0","15.2","2399","90.1","90.49","435","1540","1631","0.4","6.27","107","151","111","148","294","312","288"
"3730",456034,"David Price",2014,"3730","100.00","0.240","0.136","0.308","0.375","0.281","0.030","0.000","230","959","null","null","null","90.0","null","426","1819","1893","null","null","null","null","null","null","null","null","null"
"3668",434378,"Justin Verlander",2016,"3668","100.00","0.207","0.161","0.256","0.368","0.274","0.277","0.206","171","827","82.3","24.7","2532","90.0","89.26","492","1832","1812","-0.7","5.98","109","152","114","146","303","323","292"
"2416",453562,"Jake Arrieta",2014,"2416","100.00","0.203","0.073","0.277","0.276","0.241","0.050","0.000","114","562","null","null","null","90.0","null","272","1095","1299","null","null","null","null","null","null","null","null","null"
"3469",477132,"Clayton Kershaw",2011,"3469","100.00","0.207","0.091","0.274","0.298","0.246","0.044","0.000","174","842","null","null","null","90.0","null","417","1666","1782","null","null","null","null","null","null","null","null","null"
"2707",456034,"David Price",2013,"2707","100.00","0.252","0.127","0.299","0.379","0.289","0.028","0.000","178","707","null","null","null","89.9","null","233","1277","1414","null","null","null","null","null","null","null","null","null"
"3659",456501,"Johnny Cueto",2014,"3659","100.00","0.194","0.119","0.241","0.313","0.256","0.058","0.000","169","873","null","null","null","89.9","null","398","1742","1879","null","null","null","null","null","null","null","null","null"
"3768",434378,"Justin Verlander",2012,"3768","100.00","0.217","0.114","0.275","0.331","0.266","0.048","0.000","192","884","null","null","null","89.9","null","478","1856","1891","null","null","null","null","null","null","null","null","null"
"1470",435178,"Josh Johnson",2013,"1470","100.00","0.305","0.183","0.361","0.488","0.366","0.060","0.000","105","344","null","null","null","89.9","null","156","650","802","null","null","null","null","null","null","null","null","null"
"2141",112526,"Bartolo Colon",2012,"2141","100.00","0.266","0.134","0.287","0.400","0.300","0.026","0.000","161","605","null","null","null","89.9","null","115","1020","1106","null","null","null","null","null","null","null","null","null"
"1105",519242,"Chris Sale",2011,"1105","100.00","0.203","0.125","0.269","0.328","0.273","0.070","0.000","52","256","null","null","null","89.8","null","134","445","640","null","null","null","null","null","null","null","null","null"
"3422",433587,"Felix Hernandez",2012,"3422","100.00","0.241","0.092","0.308","0.333","0.281","0.051","0.000","209","868","null","null","null","89.8","null","397","1614","1783","null","null","null","null","null","null","null","null","null"
"3445",425844,"Zack Greinke",2010,"3445","100.00","0.260","0.128","0.309","0.388","0.304","0.047","0.000","219","843","null","null","null","89.8","null","294","1537","1883","null","null","null","null","null","null","null","null","null"
"2394",456501,"Johnny Cueto",2011,"2394","100.00","0.220","0.084","0.254","0.304","0.265","0.063","0.000","123","560","null","null","null","89.8","null","206","1121","1254","null","null","null","null","null","null","null","null","null"
"3559",452657,"Jon Lester",2013,"3559","100.00","0.253","0.137","0.301","0.389","0.310","0.057","0.000","209","827","null","null","null","89.7","null","327","1667","1876","null","null","null","null","null","null","null","null","null"
"3357",452657,"Jon Lester",2010,"3357","100.00","0.220","0.104","0.291","0.325","0.283","0.076","0.000","167","758","null","null","null","89.7","null","371","1477","1859","null","null","null","null","null","null","null","null","null"
"3388",453286,"Max Scherzer",2013,"3388","100.00","0.198","0.131","0.260","0.329","0.257","0.050","0.000","152","766","null","null","null","89.6","null","444","1591","1783","null","null","null","null","null","null","null","null","null"
"1800",543699,"Tanner Roark",2015,"1800","100.00","0.279","0.180","0.297","0.459","0.335","0.331","0.269","119","427","84.7","10.3","2105","89.6","88.38","147","836","941","-1.2","5.72","108","149","107","146","289","304","291"
"3323",519242,"Chris Sale",2015,"3323","100.00","0.233","0.135","0.324","0.368","0.285","0.259","0.209","185","794","85.0","14.2","2217","89.6","88.77","537","1640","1667","-0.8","6.11","108","147","107","145","294","306","279"
"3344",453286,"Max Scherzer",2011,"3344","100.00","0.272","0.183","0.316","0.455","0.336","0.052","0.000","207","760","null","null","null","89.6","null","361","1540","1776","null","null","null","null","null","null","null","null","null"
"995",543243,"Sonny Gray",2013,"995","100.00","0.214","0.084","0.276","0.298","0.257","0.054","0.000","51","238","null","null","null","89.5","null","101","395","598","null","null","null","null","null","null","null","null","null"
"3424",452657,"Jon Lester",2012,"3424","100.00","0.273","0.169","0.314","0.442","0.334","0.058","0.000","216","792","null","null","null","89.5","null","327","1530","1867","null","null","null","null","null","null","null","null","null"
"66",448855,"Junior Guerra",2015,"66","100.00","0.412","0.176","0.462","0.588","0.450","0.284","0.268","7","17","87.3","11.3","1947","89.5","88.87","8","34","28","-0.6","6.04","107","147","104","143","294","313","281"
"2777",112526,"Bartolo Colon",2013,"2777","100.00","0.264","0.105","0.295","0.369","0.288","0.026","0.000","193","731","null","null","null","89.5","null","197","1351","1415","null","null","null","null","null","null","null","null","null"
"3175",433587,"Felix Hernandez",2013,"3175","100.00","0.242","0.115","0.315","0.357","0.282","0.042","0.000","185","764","null","null","null","89.5","null","368","1465","1689","null","null","null","null","null","null","null","null","null"
"3271",456501,"Johnny Cueto",2015,"3271","100.00","0.242","0.146","0.284","0.387","0.294","0.301","0.246","194","803","85.5","13.3","2131","89.5","88.42","355","1609","1628","-1.1","5.66","112","148","110","146","294","308","290"
"2974",434671,"Anibal Sanchez",2013,"2974","100.00","0.229","0.101","0.309","0.330","0.274","0.053","0.000","156","682","null","null","null","89.4","null","402","1387","1573","null","null","null","null","null","null","null","null","null"
"3692",434378,"Justin Verlander",2013,"3692","100.00","0.253","0.123","0.317","0.376","0.306","0.060","0.000","212","838","null","null","null","89.4","null","427","1771","1890","null","null","null","null","null","null","null","null","null"
"3469",477132,"Clayton Kershaw",2012,"3469","100.00","0.210","0.114","0.271","0.323","0.259","0.053","0.000","170","810","null","null","null","89.4","null","413","1602","1829","null","null","null","null","null","null","null","null","null"
"1083",446372,"Corey Kluber",2012,"1083","100.00","0.295","0.190","0.344","0.484","0.361","0.055","0.000","76","258","null","null","null","89.4","null","127","496","581","null","null","null","null","null","null","null","null","null"
