"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1707",434671,"Anibal Sanchez",2010,"3234","52.78","0.278","0.117","0.306","0.395","0.294","0.013","0.000","155","557","null","null","null","87.7","null","170","1062","635","null","null","null","null","null","null","null","null","null"
"1809",519242,"Chris Sale",2016,"3432","52.71","0.248","0.163","0.280","0.411","0.283","0.297","0.256","153","618","84.5","19.7","2220","89.0","87.74","230","1180","624","-1.3","5.93","107","150","106","145","298","313","283"
"1611",434671,"Anibal Sanchez",2012,"3057","52.70","0.309","0.185","0.327","0.494","0.341","0.005","0.000","164","530","null","null","null","88.2","null","170","1032","560","null","null","null","null","null","null","null","null","null"
"1420",518774,"Matt Harvey",2013,"2697","52.65","0.230","0.089","0.274","0.319","0.237","0.005","0.000","103","448","null","null","null","92.8","null","180","921","492","null","null","null","null","null","null","null","null","null"
"903",453329,"Clay Buchholz",2015,"1716","52.62","0.311","0.124","0.356","0.435","0.323","0.290","0.275","100","322","87.6","11.6","2271","87.7","88.01","89","593","308","0.3","6.48","110","149","105","146","281","308","291"
"1782",477132,"Clayton Kershaw",2015,"3397","52.46","0.233","0.114","0.289","0.347","0.251","0.249","0.232","141","605","84.5","9.4","2203","89.6","88.99","292","1203","570","-0.6","6.22","114","150","105","148","292","303","287"
"1424",477132,"Clayton Kershaw",2014,"2722","52.31","0.242","0.124","0.297","0.366","0.261","0.003","0.000","115","475","null","null","null","89.6","null","191","949","461","null","null","null","null","null","null","null","null","null"
"1770",477132,"Clayton Kershaw",2010,"3390","52.21","0.250","0.127","0.292","0.378","0.272","0.009","0.000","136","543","null","null","null","89.9","null","209","1055","706","null","null","null","null","null","null","null","null","null"
"898",518516,"Madison Bumgarner",2010,"1720","52.21","0.286","0.157","0.296","0.443","0.311","0.002","0.000","91","318","null","null","null","88.2","null","64","568","322","null","null","null","null","null","null","null","null","null"
"1285",519455,"Jordan Zimmermann",2011,"2464","52.15","0.263","0.143","0.281","0.406","0.285","0.005","0.000","118","448","null","null","null","90.3","null","102","852","422","null","null","null","null","null","null","null","null","null"
"898",543037,"Gerrit Cole",2013,"1727","52.00","0.295","0.116","0.335","0.411","0.306","0.007","0.000","89","302","null","null","null","94.2","null","79","571","319","null","null","null","null","null","null","null","null","null"
"913",448802,"Jaime Garcia",2012,"1757","51.96","0.318","0.143","0.338","0.461","0.329","0.012","0.000","107","336","null","null","null","86.6","null","78","566","337","null","null","null","null","null","null","null","null","null"
"885",519455,"Jordan Zimmermann",2016,"1707","51.85","0.311","0.236","0.307","0.548","0.361","0.349","0.293","95","305","85.1","21.2","2370","89.3","88.68","72","588","293","-0.6","5.96","110","151","113","145","302","321","291"
"1087",434671,"Anibal Sanchez",2014,"2097","51.84","0.254","0.116","0.290","0.370","0.271","0.008","0.000","88","346","null","null","null","88.7","null","107","693","384","null","null","null","null","null","null","null","null","null"
"1450",518774,"Matt Harvey",2015,"2798","51.82","0.239","0.147","0.273","0.386","0.267","0.256","0.230","122","510","86.9","11.1","2270","93.3","92.29","183","910","528","-1.0","6.02","113","149","111","146","292","306","290"
"1776",477132,"Clayton Kershaw",2013,"3428","51.81","0.220","0.095","0.256","0.315","0.234","0.008","0.000","136","619","null","null","null","89.4","null","212","1153","615","null","null","null","null","null","null","null","null","null"
"288",519455,"Jordan Zimmermann",2010,"556","51.80","0.267","0.244","0.269","0.511","0.326","0.008","0.000","24","90","null","null","null","88.9","null","18","172","113","null","null","null","null","null","null","null","null","null"
"1862",456034,"David Price",2016,"3597","51.77","0.298","0.204","0.325","0.502","0.337","0.320","0.276","186","624","84.3","15.7","2052","89.6","88.54","267","1285","567","-1.1","5.90","106","148","113","146","285","318","286"
"784",518774,"Matt Harvey",2016,"1515","51.75","0.368","0.196","0.399","0.564","0.395","0.337","0.296","92","250","84.4","17.3","2220","92.2","91.44","87","518","260","-0.8","5.87","110","151","108","145","294","315","297"
